Designator,Mid X,Mid Y,Rotation,Layer
D1,91.7575,-101.9175,90.0,bottom
D10,91.7575,-159.0675,90.0,bottom
D11,110.8075,-159.0675,90.0,bottom
D12,129.8575,-159.0675,90.0,bottom
D13,91.7575,-56.67375,90.0,bottom
D14,91.7575,-75.72375,90.0,bottom
D15,129.8575,-56.67375,90.0,bottom
D16,129.8575,-75.72375,90.0,bottom
D17,110.8075,-66.19875,90.0,bottom
D2,110.8075,-101.9175,90.0,bottom
D3,129.8575,-101.9175,90.0,bottom
D4,91.7575,-120.9675,90.0,bottom
D5,110.8075,-120.9675,90.0,bottom
D6,129.8575,-120.9675,90.0,bottom
D7,91.7575,-140.0175,90.0,bottom
D8,110.8075,-140.0175,90.0,bottom
D9,129.8575,-140.0175,90.0,bottom
J1,100.854999,-53.45,270.0,bottom
SW1,82.2325,-100.78,0.0,top
SW10,82.2325,-157.93,0.0,top
SW11,101.2825,-157.93,0.0,top
SW12,120.3325,-157.93,0.0,top
SW13,82.2325,-55.53625,0.0,top
SW14,82.2325,-74.58625,0.0,top
SW15,120.3325,-55.53625,0.0,top
SW16,120.3325,-74.58625,0.0,top
SW17,101.2825,-65.06125,0.0,top
SW2,101.2825,-100.78,0.0,top
SW3,120.3325,-100.78,0.0,top
SW4,82.2325,-119.83,0.0,top
SW5,101.2825,-119.83,0.0,top
SW6,120.3325,-119.83,0.0,top
SW7,82.2325,-138.88,0.0,top
SW8,101.2825,-138.88,0.0,top
SW9,120.3325,-138.88,0.0,top
U1,100.80125,-177.00625,180.0,bottom
