Designator,Mid X,Mid Y,Rotation,Layer
,145.415,-166.37,45.0,top
D1,106.045,-92.3925,90.0,bottom
D10,106.045,-149.5425,90.0,bottom
D11,125.095,-149.5425,90.0,bottom
D12,144.145,-149.5425,90.0,bottom
D13,93.345001,-98.957158,0.0,top
D14,113.665001,-98.957158,0.0,top
D15,132.715001,-98.957158,0.0,top
D16,94.615001,-118.007158,0.0,top
D17,113.665001,-118.007158,0.0,top
D18,132.715001,-118.007158,0.0,top
D19,132.715001,-137.057158,0.0,top
D2,125.095,-92.3925,90.0,bottom
D20,113.665001,-137.057158,0.0,top
D21,94.615001,-137.057158,0.0,top
D22,94.615001,-156.107158,0.0,top
D23,113.665001,-156.107158,0.0,top
D24,132.715001,-156.107158,0.0,top
D3,144.145,-92.3925,90.0,bottom
D4,106.045,-111.4425,90.0,bottom
D5,125.095,-111.4425,90.0,bottom
D6,144.145,-111.4425,90.0,bottom
D7,106.045,-130.4925,90.0,bottom
D8,125.095,-130.4925,90.0,bottom
D9,144.145,-130.4925,90.0,bottom
J1,93.345,-175.17,0.0,bottom
SW1,96.52,-91.255,0.0,top
SW10,96.52,-148.405,0.0,top
SW11,115.57,-148.405,0.0,top
SW12,134.62,-148.405,0.0,top
SW2,115.57,-91.255,0.0,top
SW3,134.62,-91.255,0.0,top
SW4,96.52,-110.305,0.0,top
SW5,115.57,-110.305,0.0,top
SW6,134.62,-110.305,0.0,top
SW7,96.52,-129.355,0.0,top
SW8,115.57,-129.355,0.0,top
SW9,134.62,-129.355,0.0,top
U1,115.57,-164.7825,180.0,bottom
